canonical_name,level,abbreviation,hierarchy_path_abbrev,hierarchy_path
Office of Family Assistance,3,OFA,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Family Assistance
Office of Child Care,3,OCC,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Child Care
Office of Human Services Emergency Preparedness,3,OHSEPR,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Human Services Emergency Preparedness
Administration on Children Youth and Families,3,ACYF,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Administration on Children Youth and Families
Office of Planning Research and Evaluation,3,OPRE,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Planning Research and Evaluation
Administration for Native Americans,3,ANA,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Administration for Native Americans
Office of Community Services,3,OCS,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Community Services
Office of Child Support Enforcement,3,OCSE,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Child Support Enforcement
Office of Refugee Resettlement,3,ORR,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Refugee Resettlement
Office of Head Start,3,OHS,HHS>ACF,Department of Health and Human Services>Administration for Children and Families>Office of Head Start
Administration on Disabilities,3,AoD,HHS>ACL,Department of Health and Human Services>Administration for Community Living>Administration on Disabilities
Administration on Aging,3,,HHS>ACL,Department of Health and Human Services>Administration for Community Living>Administration on Aging
Center for Integrated Programs,3,CIP,HHS>ACL,Department of Health and Human Services>Administration for Community Living>Center for Integrated Programs
National Institute on Disability Independent Living and Rehabilitation Research,3,,HHS>ACL,Department of Health and Human Services>Administration for Community Living>National Institute on Disability Independent Living and Rehabilitation Research
Office of Grants Management,3,,HHS>ACL,Department of Health and Human Services>Administration for Community Living>Office of Grants Management
Public Health Service,3,,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Public Health Service
AHRQ Headquarters,3,HQ,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>AHRQ Headquarters
Division of Grants Management,3,,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Division of Grants Management
"Center for Delivery, Organization, and Markets",3,,HHS>AHRQ,"Department of Health and Human Services>Agency for Healthcare Research and Quality>Center for Delivery, Organization, and Markets"
Office of Extramural Research Education and Priority Populations,3,OEREP,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Office of Extramural Research Education and Priority Populations
Center for Evidence and Practice Improvement,3,CEPI,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Center for Evidence and Practice Improvement
Center for Quality Improvement and Patient Safety,3,CQuIPS,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Center for Quality Improvement and Patient Safety
Center for Financing Access and Cost Trends,3,CFACT,HHS>AHRQ,Department of Health and Human Services>Agency for Healthcare Research and Quality>Center for Financing Access and Cost Trends
Commodity Procurement Program,3,CPP,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Commodity Procurement Program
Science and Technology Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Science and Technology Program
Specialty Crops Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Specialty Crops Program
Dairy Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Dairy Program
Cotton and Tobacco Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Cotton and Tobacco Program
Livestock Poultry and Seed Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Livestock Poultry and Seed Program
Transportation and Marketing Program,3,,USDA>AMS,Department of Agriculture>Agricultural Marketing Service>Transportation and Marketing Program
Business Service Centers,3,,USDA>ARS,Department of Agriculture>Agricultural Research Service>Business Service Centers
Enforcement and Removals,3,ERO,DHS>ICE,Department of Homeland Security>Immigration and Customs Enforcement>Enforcement and Removals
Air Mobility Command,3,AMC,DoD>USAF,Department of Defense>Department of the Air Force>Air Mobility Command
Air Combat Command,3,ACC,DoD>USAF,Department of Defense>Department of the Air Force>Air Combat Command
Air Force Materiel Command,3,AFMC,DoD>USAF,Department of Defense>Department of the Air Force>Air Force Materiel Command
Space Force,3,USSF,DoD>USAF,Department of Defense>Department of the Air Force>Space Force
Pacific Air Forces,3,PACAF,DoD>USAF,Department of Defense>Department of the Air Force>Pacific Air Forces
Air Education and Training Command,3,AETC,DoD>USAF,Department of Defense>Department of the Air Force>Air Education and Training Command
Air Force Special Operations Command,3,AFSOC,DoD>USAF,Department of Defense>Department of the Air Force>Air Force Special Operations Command
Reserve Command,3,AFRC,DoD>USAF,Department of Defense>Department of the Air Force>Reserve Command
Air National Guard,3,ANG,DoD>USAF,Department of Defense>Department of the Air Force>Air National Guard
Aviation Logistics Center,3,ALC,DHS>USCG,Department of Homeland Security>Coast Guard>Aviation Logistics Center
U.S. Air Forces Europe and Africa,3,USAFE,DoD>USAF,Department of Defense>Department of the Air Force>U.S. Air Forces Europe and Africa
Global Strike Command,3,AFGSC,DoD>USAF,Department of Defense>Department of the Air Force>Global Strike Command
Air Force Central Command,3,AFCENT,DoD>USAF,Department of Defense>Department of the Air Force>Air Force Central Command
Plant Protection and Quarantine,3,PPQ,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Plant Protection and Quarantine
APHIS Headquarters,3,HQ,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>APHIS Headquarters
Legislative and Public Affairs,3,LPA,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Legislative and Public Affairs
Marketing and Regulatory Programs Business Services,3,MRPBS,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Marketing and Regulatory Programs Business Services
Veterinary Services,3,VS,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Veterinary Services
Wildlife Services,3,WS,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Wildlife Services
International Services,3,IS,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>International Services
Animal Care,3,AC,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Animal Care
Science and Technology,3,S&T,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Science and Technology
Biotechnology Regulatory Services,3,BRS,USDA>APHIS,Department of Agriculture>Animal and Plant Health Inspection Service>Biotechnology Regulatory Services
Office of Small and Disadvantaged Business Utilization,3,OSDBU,USDA>DM,Department of Agriculture>Departmental Management>Office of Small and Disadvantaged Business Utilization
Bureau of Indian Education,3,,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>Bureau of Indian Education
Office of Indian Economic Development,3,IED,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>Office of Indian Economic Development
BIA Great Plains Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Great Plains Region
Central Office,3,,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>Central Office
Office of Self Governance,3,OSG,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>Office of Self Governance
BIA Eastern Oklahoma Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Eastern Oklahoma Region
BIA Western Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Western Region
BIA Midwest Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Midwest Region
Office of Federal Acknowledgement,3,,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>Office of Federal Acknowledgement
BIA Alaska Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Alaska Region
BIA Albuquerque Acquisition Office,3,,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>BIA Albuquerque Acquisition Office
BIA Northwest Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Northwest Region
BIA Eastern Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Eastern Region
BIA Pacific Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Pacific Region
School Operations,3,,DOI>BIA,Department of the Interior>Bureau of Indian Affairs>School Operations
BIA Southern Plains Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Southern Plains Region
BIA Navajo Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Navajo Region
BIA Rocky Mountain Region,4,,DOI>BIA>RO,Department of the Interior>Bureau of Indian Affairs>Regional Offices>BIA Rocky Mountain Region
BLM California Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM California Region
BLM Oregon-Washington,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Oregon-Washington
BLM Montana-Dakotas,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Montana-Dakotas
BLM Eastern States,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Eastern States
BLM Wyoming Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Wyoming Region
BLM Arizona Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Arizona Region
BLM Colorado Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Colorado Region
BLM National Office,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM National Office
BLM Nevada Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Nevada Region
BLM Alaska Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Alaska Region
BLM Idaho Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Idaho Region
BLM Utah Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM Utah Region
BLM New Mexico Region,3,,DOI>BLM,Department of the Interior>Bureau of Land Management>BLM New Mexico Region
Correctional Facilities,3,,DOJ>BOP,Department of Justice>Bureau of Prisons>Correctional Facilities
Central Office,3,,DOJ>BOP,Department of Justice>Bureau of Prisons>Central Office
Regional Offices,3,RO,DOJ>BOP,Department of Justice>Bureau of Prisons>Regional Offices
Residential Reentry,3,,DOJ>BOP,Department of Justice>Bureau of Prisons>Residential Reentry
Federal Insurance and Mitigation Administration,3,FIMA,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Federal Insurance and Mitigation Administration
CDC Office of Acquisition Services,3,OAS,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Acquisition Services
National Center for Health Statistics,3,NCHS,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Health Statistics
CDC Office of the Director,3,,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of the Director
Center for Preparedness and Response,3,CPR,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>Center for Preparedness and Response
"National Center for HIV, Viral Hepatitis, STD, and TB Prevention",3,NCHHSTP,HHS>CDC,"Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for HIV, Viral Hepatitis, STD, and TB Prevention"
National Center on Birth Defects and Developmental Disabilities,3,NCBDDD,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center on Birth Defects and Developmental Disabilities
Center for Global Health,3,CGH,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>Center for Global Health
National Center for Chronic Disease Prevention and Health Promotion,3,NCCDPHP,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Chronic Disease Prevention and Health Promotion
Acquisition and Assistance Field Branch - Pittsburgh,4,,HHS>CDC>OAS,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Acquisition Services>Acquisition and Assistance Field Branch - Pittsburgh
National Center for Injury Prevention and Control,3,NCIPC,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Injury Prevention and Control
CDC Office of Financial Resources,3,OFR,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Financial Resources
National Center for Environmental Health,3,NCEH,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Environmental Health
"Center for State, Tribal, Local, and Territorial Support",3,CSTLTS,HHS>CDC,"Department of Health and Human Services>Centers for Disease Control and Prevention>Center for State, Tribal, Local, and Territorial Support"
National Center for Emerging and Zoonotic Infectious Diseases,3,NCEZID,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Emerging and Zoonotic Infectious Diseases
"Center For Surveillance, Epidemiology, And Laboratory Services",3,CSELS,HHS>CDC,"Department of Health and Human Services>Centers for Disease Control and Prevention>Center For Surveillance, Epidemiology, And Laboratory Services"
Acquisition and Assistance Field Branch - Hyattsville,4,,HHS>CDC>OAS,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Acquisition Services>Acquisition and Assistance Field Branch - Hyattsville
Acquisition and Assistance Field Branch - Cincinnati,4,,HHS>CDC>OAS,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Acquisition Services>Acquisition and Assistance Field Branch - Cincinnati
National Center for Immunization and Respiratory Diseases,3,NCRID,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Center for Immunization and Respiratory Diseases
Acquisition and Assistance Field Branch - Morgantown,4,,HHS>CDC>OAS,Department of Health and Human Services>Centers for Disease Control and Prevention>CDC Office of Acquisition Services>Acquisition and Assistance Field Branch - Morgantown
National Institute for Occupational Safety and Health,3,NIOSH,HHS>CDC,Department of Health and Human Services>Centers for Disease Control and Prevention>National Institute for Occupational Safety and Health
Spokane Research Laboratory,4,,HHS>CDC>NIOSH,Department of Health and Human Services>Centers for Disease Control and Prevention>National Institute for Occupational Safety and Health>Spokane Research Laboratory
Center for Medicaid and Chip Services,3,CMCSC,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>Center for Medicaid and Chip Services
Center for Medicare and Medicaid Innovation,3,,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>Center for Medicare and Medicaid Innovation
Center for Consumer Information and Insurance Oversight,3,CCIIO,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>Center for Consumer Information and Insurance Oversight
CMS Office of Financial Management,3,,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>CMS Office of Financial Management
Center for Clinical Standards and Quality,3,,HHS>CMS,Department of Health and Human Services>Centers for Medicare and Medicaid Services>Center for Clinical Standards and Quality
Science Technology Assessment and Analytics Team,3,STAA,GAO>*,Government Accountability Office>U.S. Comptroller General>Science Technology Assessment and Analytics Team
DLA Land and Maritime,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Land and Maritime
DLA Troop Support,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Troop Support
DLA Aviation,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Aviation
DLA Headquarters,3,HQ,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Headquarters
DLA Energy,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Energy
DLA Disposition Services,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Disposition Services
DLA Document Services,4,,DoD>DLA>HQ,Department of Defense>Defense Logistics Agency>DLA Headquarters>DLA Document Services
DLA Logistics Information Service,4,,DoD>DLA>HQ,Department of Defense>Defense Logistics Agency>DLA Headquarters>DLA Logistics Information Service
DLA Distribution,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Distribution
DLA Transaction Services,3,,DoD>DLA,Department of Defense>Defense Logistics Agency>DLA Transaction Services
DLA Strategic Materials,4,,DoD>DLA>HQ,Department of Defense>Defense Logistics Agency>DLA Headquarters>DLA Strategic Materials
DTRA Joint IED Defeat Organization,3,,DoD>DTRA,Department of Defense>Defense Threat Reduction Agency>DTRA Joint IED Defeat Organization
U.S. Army Corps of Engineers,3,USACE,DoD>USA,Department of Defense>Department of the Army>U.S. Army Corps of Engineers
Army National Guard,3,ARNG,DoD>USA,Department of Defense>Department of the Army>Army National Guard
Intelligence and Security Command,3,INSCOM,DoD>USA,Department of Defense>Department of the Army>Intelligence and Security Command
Army Cyber Command,3,ARCYBER,DoD>USA,Department of Defense>Department of the Army>Army Cyber Command
Army Materiel Command,3,AMC,DoD>USA,Department of Defense>Department of the Army>Army Materiel Command
Army Central Command,3,USARCENT,DoD>USA,Department of Defense>Department of the Army>Army Central Command
Army Southern Command,3,USARSO,DoD>USA,Department of Defense>Department of the Army>Army Southern Command
Army Special Operations Command,3,USASOC,DoD>USA,Department of Defense>Department of the Army>Army Special Operations Command
Space and Missile Defense Command,3,SMDC,DoD>USA,Department of Defense>Department of the Army>Space and Missile Defense Command
Army Test and Evaluation Command,3,ATEC,DoD>USA,Department of Defense>Department of the Army>Army Test and Evaluation Command
Medical Command,3,MEDCOM,DoD>USA,Department of Defense>Department of the Army>Medical Command
Army Pacific Command,3,USARPAC,DoD>USA,Department of Defense>Department of the Army>Army Pacific Command
United States Army Europe and Africa,3,USAREUR-AF,DoD>USA,Department of Defense>Department of the Army>United States Army Europe and Africa
Information Technology Procurement Office,2,,NASA,National Aeronautics and Space Administration>Information Technology Procurement Office
Army Forces Command,3,FORSCOM,DoD>USA,Department of Defense>Department of the Army>Army Forces Command
Criminal Investigation Command,3,CID,DoD>USA,Department of Defense>Department of the Army>Criminal Investigation Command
Training and Doctrine Command,3,TRADOC,DoD>USA,Department of Defense>Department of the Army>Training and Doctrine Command
Acquisition Support Center,3,USAASC,DoD>USA,Department of Defense>Department of the Army>Acquisition Support Center
Installation Management Command,3,IMCOM,DoD>USA,Department of Defense>Department of the Army>Installation Management Command
Reserve Command,3,USARC,DoD>USA,Department of Defense>Department of the Army>Reserve Command
Army Headquarters,3,AHQ,DoD>USA,Department of Defense>Department of the Army>Army Headquarters
Naval Sea Systems Command,3,NAVSEA,DoD>USN,Department of Defense>Department of the Navy>Naval Sea Systems Command
Marine Corps,3,USMC,DoD>USN,Department of Defense>Department of the Navy>Marine Corps
Naval Facilities Engineering Command,3,NAVFAC,DoD>USN,Department of Defense>Department of the Navy>Naval Facilities Engineering Command
Naval Supply Systems Command,3,NAVSUP,DoD>USN,Department of Defense>Department of the Navy>Naval Supply Systems Command
Naval Air Systems Command,3,NAVAIR,DoD>USN,Department of Defense>Department of the Navy>Naval Air Systems Command
Naval Information Warfare Systems Command,3,NAVWAR,DoD>USN,Department of Defense>Department of the Navy>Naval Information Warfare Systems Command
Military Sealift Command,3,MSC,DoD>USN,Department of Defense>Department of the Navy>Military Sealift Command
Naval Surface Warfare Centers,4,NSWC,DoD>USN>NAVSEA,Department of Defense>Department of the Navy>Naval Sea Systems Command>Naval Surface Warfare Centers
Bureau of Medicine and Surgery,3,BUMED,DoD>USN,Department of Defense>Department of the Navy>Bureau of Medicine and Surgery
Office of Naval Intelligence,3,ONI,DoD>USN,Department of Defense>Department of the Navy>Office of Naval Intelligence
Fleet Cyber Command,3,FCC,DoD>USN,Department of Defense>Department of the Navy>Fleet Cyber Command
Naval Strategic Systems Programs,3,SSP,DoD>USN,Department of Defense>Department of the Navy>Naval Strategic Systems Programs
Naval Education and Training Command,3,NETC,DoD>USN,Department of Defense>Department of the Navy>Naval Education and Training Command
Secretary of the Navy,3,SECNAV,DoD>USN,Department of Defense>Department of the Navy>Secretary of the Navy
Bureau of Naval Personnel,3,BUPERS,DoD>USN,Department of Defense>Department of the Navy>Bureau of Naval Personnel
Navy Expeditionary Combat Command,3,NECC,DoD>USN,Department of Defense>Department of the Navy>Navy Expeditionary Combat Command
Navy Reserve,3,USNR,DoD>USN,Department of Defense>Department of the Navy>Navy Reserve
Naval Network Warfare Command,3,NETWARCOM,DoD>USN,Department of Defense>Department of the Navy>Naval Network Warfare Command
Naval Meteorology and Oceanography Command,3,NMOC,DoD>USN,Department of Defense>Department of the Navy>Naval Meteorology and Oceanography Command
"Commander, Navy Installations Command",3,CNIC,DoD>USN,"Department of Defense>Department of the Navy>Commander, Navy Installations Command"
Center for Excellence in Disaster Management and Humanitarian Assistance,3,CFE-DM,DoD>USN,Department of Defense>Department of the Navy>Center for Excellence in Disaster Management and Humanitarian Assistance
U.S. Fleet Forces,3,USFF,DoD>USN,Department of Defense>Department of the Navy>U.S. Fleet Forces
Navy Recruiting Command,3,CNRC,DoD>USN,Department of Defense>Department of the Navy>Navy Recruiting Command
Naval Observatory,3,USNO,DoD>USN,Department of Defense>Department of the Navy>Naval Observatory
Naval Construction Force,4,NCF,DoD>USN>NECC,Department of Defense>Department of the Navy>Navy Expeditionary Combat Command>Naval Construction Force
Naval Safety Center,3,NAVSAFECEN,DoD>USN,Department of Defense>Department of the Navy>Naval Safety Center
Fleet Band Activities,4,FBA,DoD>USN>NETC,Department of Defense>Department of the Navy>Naval Education and Training Command>Fleet Band Activities
Naval Forces Central Command,3,NAVCENT,DoD>USN,Department of Defense>Department of the Navy>Naval Forces Central Command
Defense POW/MIA Accounting Agency,2,DPAA,DoD,Department of Defense>Defense POW/MIA Accounting Agency
DOI Office of Policy Management and Budget,2,PMB,DOI,Department of the Interior>DOI Office of Policy Management and Budget
DOI Office of the Secretary,2,OS,DOI,Department of the Interior>DOI Office of the Secretary
DOI Office of the Chief Information Officer,2,CIO,DOI,Department of the Interior>DOI Office of the Chief Information Officer
National Office,3,,DOL>EBSA,Department of Labor>Employee Benefits Security Administration>National Office
Region I,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region I
Aerial Photography Field Office,3,,USDA>FSA,Department of Agriculture>Farm Service Agency>Aerial Photography Field Office
Kansas City Commodity Office,3,KCCO,USDA>FSA,Department of Agriculture>Farm Service Agency>Kansas City Commodity Office
FSA Headquarters,3,HQ,USDA>FSA,Department of Agriculture>Farm Service Agency>FSA Headquarters
State Offices,3,SO,USDA>FSA,Department of Agriculture>Farm Service Agency>State Offices
GWAC Contract Centers,3,,GSA>FAS,General Services Administration>Federal Acquisition Service>GWAC Contract Centers
Fleet Management Division,3,,GSA>FAS,General Services Administration>Federal Acquisition Service>Fleet Management Division
OASIS Program Management Office,3,PMO,GSA>FAS,General Services Administration>Federal Acquisition Service>OASIS Program Management Office
Region II,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region II
Assisted Acquisition Services,3,AAS,GSA>FAS,General Services Administration>Federal Acquisition Service>Assisted Acquisition Services
FAA Headquarters,3,HQ,DOT>FAA,Department of Transportation>Federal Aviation Administration>FAA Headquarters
Acquisitions & Business Services,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Acquisitions & Business Services
Southern Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Southern Region
Central Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Central Region
Region III,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region III
Northwest Mountain Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Northwest Mountain Region
Western Pacific Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Western Pacific Region
Enroute and Terminal Contracts,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Enroute and Terminal Contracts
Great Lakes Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Great Lakes Region
Alaska Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Alaska Region
Aeronautical Center Acquisitions Division,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Aeronautical Center Acquisitions Division
Volpe National Transportation Systems Center,3,,DOT>DOTOST,Department of Transportation>Office of the Secretary of Transportation>Volpe National Transportation Systems Center
Eastern Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Eastern Region
New England Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>New England Region
Technical Center,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Technical Center
Southwestern Region,3,,DOT>FAA,Department of Transportation>Federal Aviation Administration>Southwestern Region
FBI Headquarters,3,HQ,DOJ>FBI,Department of Justice>Federal Bureau of Investigation>FBI Headquarters
FBI Field Offices,3,FO,DOJ>FBI,Department of Justice>Federal Bureau of Investigation>FBI Field Offices
FBI Legal Attaché,3,,DOJ>FBI,Department of Justice>Federal Bureau of Investigation>FBI Legal Attaché
Incident Support Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Incident Support Section
Region IV,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region IV
National Preparedness and Response Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>National Preparedness and Response Section
Mitigation Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Mitigation Section
FEMA Headquarters: Contract Operations and Management,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Headquarters: Contract Operations and Management
Community Survivor Assistance,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Community Survivor Assistance
FEMA Region 3: Philadelphia,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 3: Philadelphia
Information Technology Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Information Technology Section
National Continuity Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>National Continuity Section
Support Services Section,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Support Services Section
FEMA Region 4: Atlanta,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 4: Atlanta
FEMA New Orleans Contract Operations,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA New Orleans Contract Operations
Region V,4,,HUD>CPD>FO,Department of Housing and Urban Development>Community Planning and Development>Field Offices>Region V
FEMA State and Local Programs and Support Directorate,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA State and Local Programs and Support Directorate
"FEMA Region 10: Bothell, Washington",3,,DHS>FEMA,"Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 10: Bothell, Washington"
FEMA Region 2: New York,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 2: New York
FEMA Mississippi Contract Operatoins,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Mississippi Contract Operatoins
FEMA Region 9: Oakland,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 9: Oakland
FEMA Region 8: Denver,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 8: Denver
FEMA Region 5: Chicago,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 5: Chicago
FEMA Incident Workforce Academy,3,FIWA,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Incident Workforce Academy
FEMA Region 1: Boston,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 1: Boston
FEMA Region 6: Denton,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 6: Denton
Grants and Training,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Grants and Training
FEMA Region 7: Kansas City,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Region 7: Kansas City
FEMA Headquarters: Financial Assistance Awards,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Headquarters: Financial Assistance Awards
FEMA Texas National Processing Service Centers,3,NPSC,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>FEMA Texas National Processing Service Centers
Office of Response and Recovery,3,,DHS>FEMA,Department of Homeland Security>Federal Emergency Management Agency>Office of Response and Recovery
